Product Id,Product Handle,Product Title,Product Subtitle,Product Thumbnail,Product Collection Title,Product Collection Handle,Product Tags,Product Discountable,Product Metadata,Price PEN,Image 1 Url,Image 2 Url,Image 3 Url
prod_01JY4N999RHTP2G6HX2J82AW2Z,av-paseo-de-la-republica-jr-scipion-llona-hacia-miraflores,Av. Paseo de la Republica / Jr. Scipion Llona - Hacia Miraflores,Av. Pase De La Republica / Jr. Scipion Llona,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/MI 004-1750357978180.JPG,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media "",""impact"":""310855"",""nearby"":""Via Expresa, cerca a Av. Aramburu, Domingo Orue "",""country"":""PE"",""width_m"":""12"",""height_m"":""6"",""latitude"":""-12.107136"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""720"",""height_px"":""360"",""longitude"":""-77.027294"",""impressions"":""890"",""restrictions"":""ingreso al zanjón pasando Aramburu justo previo al cruce con Domingo orue"",""impression_duration"":""10""}",220.3,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/MI 004-1750357983162.JPG,,
prod_01JY4N998NG6T7JGFMH2KAZ6WM,bonilla-hacia-san-isidro,Bonilla hacia San Isidro,Av. Del Ejercito / Estadio Bonilla,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1276 (1)-1750357015472.jpg,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media"",""impact"":""247716"",""nearby"":""Bajada y subida al circuito de playa, Mercado San Isidro, Estadio Bonilla "",""country"":""PE"",""width_m"":""12"",""height_m"":""6"",""latitude"":""-12.109182"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""720"",""height_px"":""360"",""longitude"":""-77.053067"",""impressions"":""890"",""impression_duration"":""10""}",289.1,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1276 (1)-1750357023400.jpg,,
prod_01JY4N99971R1WMJTMV7BNSGXP,av-paseo-de-la-republica-jr-scipion-llona-hacia-san-isidro,Av. Paseo de la Republica / Jr. Scipion Llona - Hacia San isidro,Av. Pase De La Republica / Jr. Scipion Llona,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/ORUE3 (2)-1750357929223.jpg,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media"",""impact"":""320439"",""nearby"":""Via Expresa, cerca a Av. Aramburu, Domingo Orue "",""country"":""PE"",""width_m"":""12"",""height_m"":""6"",""latitude"":""-12.107136"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""720"",""height_px"":""360"",""longitude"":""-77.027294"",""impressions"":""890"",""restrictions"":""ingreso al zanjón pasando Aramburu justo previo al cruce con Domingo orue"",""impression_duration"":""10""}",220.3,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/ORUE3 (2)-1750357935885.jpg,,
prod_01JY4N9971K7D4KERFE22RD4GW,bonilla-hacia-miraflores,Bonilla hacia Miraflores,Av. Del Ejercito / Estadio Bonilla,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/YTUQPLANES2 (1)-1750357049223.jpg,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media"",""impact"":""251844"",""nearby"":""Bajada y subida al circuito de playa, Mercado San Isidro, Estadio Bonilla "",""country"":""PE"",""width_m"":""12"",""height_m"":""6"",""latitude"":""-12.109182"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""720"",""height_px"":""360"",""longitude"":""-77.053067"",""impressions"":""890"",""impression_duration"":""10""}",289.1,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/YTUQPLANES2 (1)-1750357056611.jpg,,
prod_01JY4N99A9VZBRRF7FGSF1X1ZJ,av-petit-thouars-ca-gral-pershing-cdra-2-hacia-av-arequipa,Av. Petit Thouars / Ca. Gral Pershing Cdra 2 - Hacia Av. Arequipa,Av. Petit Thouars / Ca. Gral Pershing Cdra 2,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/MARSANO2 (1)-1750358073877.jpg,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media "",""impact"":""181943"",""nearby"":""Av. Arequipa, Hiraoka, Compu Palace, teatro Marsano "",""country"":""PE"",""width_m"":""3"",""height_m"":""5"",""latitude"":""-12.117112"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""480"",""height_px"":""605"",""longitude"":""-77.028133"",""impressions"":""890"",""impression_duration"":""10""}",138,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/MARSANO2 (1)-1750358081356.jpg,,
prod_01JY4N99ASYNTHCGT28MRM0W9P,av-petit-thouars-ca-gral-pershing-cdra-2-hacia-mercado-surquillo-nr-2,Av. Petit Thouars / Ca. Gral Pershing Cdra 2 -Hacia Mercado Surquillo Nr.2,Av. Petit Thouars / Ca. Gral Pershing Cdra 2,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1220-1750357110264.jpg,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media "",""impact"":""188657"",""nearby"":""Av. Arequipa, Hiraoka, Compu Palace, teatro Marsano "",""country"":""PE"",""width_m"":""3"",""height_m"":""5"",""latitude"":""-12.116948"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""480"",""height_px"":""605"",""longitude"":""-77.02757"",""impressions"":""890"",""impression_duration"":""10""}",138,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1220-1750357118199.jpg,,
prod_01JY4N99CJ08DRR0CN4HB17MS2,av-reducto-con-av-balboa,Av.  Reducto con Av. Balboa,Av. 28 De Julio / Balboa,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1359 (1)-1750358177293.jpg,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media "",""impact"":""216754"",""nearby"":""Mercado 28, Pasteleria San Antonio, Balboa Strip Mall, Ibis Hotel, Aloft Hotel "",""country"":""PE"",""width_m"":""3"",""height_m"":""5"",""latitude"":""-12.129311"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""480"",""height_px"":""605"",""longitude"":""-77.0239"",""impressions"":""890"",""impression_duration"":""10""}",138,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1359 (1)-1750358185344.jpg,,
prod_01JY4N99BTV503M68MAJ8GPJM7,av-pardo-cdra-12-av-comandante-espinar-hacia-malecon,Av. Pardo Cdra 12 / Av. Comandante Espinar - Hacia Malecón,Av. Pardo Cdra 12 / Av. Comandante Espinar,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1252 (2)-1750358380095.jpg,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media "",""impact"":""167061"",""nearby"":""Restaurantes, Bancos, Oficinas, Embajada de Brasil "",""country"":""PE"",""width_m"":""3"",""height_m"":""5"",""latitude"":""-12.119059"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""480"",""height_px"":""605"",""longitude"":""-77.036917"",""impressions"":""890"",""impression_duration"":""10""}",138,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1252 (2)-1750358387202.jpg,,
prod_01JY4N99D2SSRKRVAWMY3JD2KB,av-reducto-hacia-barranco,Av. Reducto hacia Barranco,Av. 28 De Julio / Reducto,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1373-1750357205860.jpg,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media "",""impact"":""223833"",""nearby"":""Mercado 28, Pasteleria San Antonio, Balboa Strip Mall, Ibis Hotel, Aloft Hotel "",""country"":""PE"",""width_m"":""3"",""height_m"":""5"",""latitude"":""-12.129311"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""480"",""height_px"":""605"",""longitude"":""-77.0239"",""impressions"":""890"",""impression_duration"":""10""}",138,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1373-1750357214238.jpg,,
prod_01JY4N99DKNDNZZKKY1M8AAZ2P,av-28-de-julio-av-tejada-hacia-via-expresa,Av. 28 de Julio / Av. Tejada - Hacia Vía Expresa,Av. 28 De Julio / Tejada,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1319 (1)-1750357468921.jpg,SMART MEDIA,smart-media,PE,TRUE,"{""aliado"":""Smart Media "",""impact"":""140113"",""nearby"":""BBVA, Restaurantes, Strip Mall 28 de Julio"",""country"":""PE"",""width_m"":""3"",""height_m"":""5"",""latitude"":""-12.130542"",""location"":""Miraflores ,Lima ,Lima "",""width_px"":""480"",""height_px"":""605"",""longitude"":""-77.019543"",""impressions"":""890"",""impression_duration"":""10""}",138,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/0D4A1319 (1)-1750357474768.jpg,,
